body_md5	exec_anon	exec_authenticated	exec_public	exec_service_role	kind	language	owner	proconfig	security_definer	signature	volatility
91d09e00e01561078421c812e952f39f	false	false	false	true	f	plpgsql	postgres	search_path=public, pg_temp	false	_analytics_normalize_for_pii(text)	i
f9237275bac94d43b946d3c37786c424	true	true	true	true	f	plpgsql	postgres		false	_e360_perf_set_avg()	v
9bdca2677cdb5c91b2cbf439215e3298	false	false	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	_link_catalog_devices_to_brands()	v
fd6a8f276db87dc93e17bd3a2089ba0f	false	false	false	true	f	sql	postgres	search_path=public, pg_temp	false	_supervised_tier_rank(text)	i
6d2786a8cff0202d270ebe0795d40ade	false	false	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	_sync_buyer_kyc_status()	v
1dcac4ce3abfaf481f99dd493cc4189e	false	false	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	_sync_profile_roles()	v
c68e047f99556cbdf6f4a7db0cde95bc	false	false	false	true	f	sql	postgres	search_path=public, pg_temp	false	_verified_tier_at_or_above(text,text)	i
e31df026e559446c888dd6ed089ec602	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	abstainers_recent_r1701()	v
6b345c5ff579e9c151b09b85ff443b67	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	accelerating_r2167()	v
bea657b85b8673c49c5ed1daedf495e2	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	accelerating_tier_velocities_r2136()	v
2d61065c3374d5e693e0d96e9095d7c4	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	acceleration_kind_distribution_r2587()	s
45a37f024e378c85e1679aba1568137b	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	accept_code_red(uuid)	v
75b4da8d3d14af53f2f86a8aa2f81649	false	true	false	true	f	plpgsql	postgres	search_path=public, pg_temp	true	accept_hospital_chain_invite(text)	v
84af8efd911d958e6a79ab66e81d0801	true	true	false	true	f	plpgsql	postgres	search_path=public, auth	true	accept_repair_bid(uuid)	v
