command	permissive	policy_name	roles	table_name	using_expr	with_check_expr
ALL	PERMISSIVE	founder_all	authenticated	acceptance_signoff_checklist_r2508	is_founder()	is_founder()
SELECT	PERMISSIVE	account_deletions_select_own	authenticated	account_deletions	(auth.uid() = user_id)	
ALL	PERMISSIVE	founder_all	authenticated	account_equity_kt_items_r2379	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	account_equity_transfers_r2379	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	account_plan_actions_r2683	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	account_plan_initiative_progress_r2603	is_founder()	is_founder()
INSERT	PERMISSIVE	admin_audit_log_insert_self_admin	public	admin_audit_log		((actor_id = auth.uid()) AND is_admin(auth.uid()))
SELECT	PERMISSIVE	admin_audit_log_select_admin	public	admin_audit_log	is_admin(auth.uid())	
ALL	PERMISSIVE	founder_all	authenticated	adoption_help_requests_r2484	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	advisory_board_action_log_r2613	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	advocacy_activities_r2495	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	alignment_recovery_actions_r2641	is_founder()	is_founder()
ALL	PERMISSIVE	amc_admin_escalations_admin_all	authenticated	amc_admin_escalations	(is_admin(auth.uid()) OR is_founder())	(is_admin(auth.uid()) OR is_founder())
SELECT	PERMISSIVE	amc_affidavits_select	authenticated,service_role	amc_affidavits	((hospital_user_id = auth.uid()) OR is_founder())	
ALL	PERMISSIVE	founder_all	authenticated	amc_attach_improvement_actions_r2668	is_founder()	is_founder()
ALL	PERMISSIVE	amc_contracts_admin_all	authenticated	amc_contracts	(is_admin(auth.uid()) OR is_founder())	(is_admin(auth.uid()) OR is_founder())
SELECT	PERMISSIVE	amc_contracts_engineer_assigned	public	amc_contracts	((EXISTS ( SELECT 1 FROM engineers e WHERE ((e.id = amc_contracts.primary_engineer_id) AND (e.user_id = auth.uid())))) OR amc_rotation_includes_user(id, auth.uid()))	
SELECT	PERMISSIVE	amc_contracts_hospital_own	public	amc_contracts	(auth.uid() = hospital_user_id)	
SELECT	PERMISSIVE	amc_rotation_visible_to_party	public	amc_engineer_rotation	((EXISTS ( SELECT 1 FROM engineers e WHERE ((e.id = amc_engineer_rotation.engineer_id) AND (e.user_id = auth.uid())))) OR amc_contract_is_party(amc_contract_id, auth.uid()) OR is_admin(auth.uid()) OR is_founder())	
ALL	PERMISSIVE	founder_all	authenticated	amc_onboarding_handover_signoffs_r2460	is_founder()	is_founder()
ALL	PERMISSIVE	founder_all	authenticated	amc_onboarding_steps_r2460	is_founder()	is_founder()
ALL	PERMISSIVE	amc_payment_orders_admin_all	authenticated	amc_payment_orders	(is_admin(auth.uid()) OR is_founder())	(is_admin(auth.uid()) OR is_founder())
SELECT	PERMISSIVE	amc_payment_orders_hospital_own	public	amc_payment_orders	(EXISTS ( SELECT 1 FROM amc_contracts c WHERE ((c.id = amc_payment_orders.amc_contract_id) AND (c.hospital_user_id = auth.uid()))))	
ALL	PERMISSIVE	amc_payment_pool_admin_all	authenticated	amc_payment_pool	(is_admin(auth.uid()) OR is_founder())	(is_admin(auth.uid()) OR is_founder())
SELECT	PERMISSIVE	amc_payment_pool_engineer_assigned	public	amc_payment_pool	((EXISTS ( SELECT 1 FROM (amc_contracts c JOIN engineers e ON ((e.id = c.primary_engineer_id))) WHERE ((c.id = amc_payment_pool.amc_contract_id) AND (e.user_id = auth.uid())))) OR (EXISTS ( SELECT 1 FROM (amc_engineer_rotation r JOIN engineers e ON ((e.id = r.engineer_id))) WHERE ((r.amc_contract_id = amc_payment_pool.amc_contract_id) AND (e.user_id = auth.uid()) AND (r.active = true)))))	
SELECT	PERMISSIVE	amc_payment_pool_hospital_own	public	amc_payment_pool	(EXISTS ( SELECT 1 FROM amc_contracts c WHERE ((c.id = amc_payment_pool.amc_contract_id) AND (c.hospital_user_id = auth.uid()))))	
ALL	PERMISSIVE	amc_renewal_attempts_admin_all	authenticated	amc_renewal_attempts	(is_admin(auth.uid()) OR is_founder())	(is_admin(auth.uid()) OR is_founder())
SELECT	PERMISSIVE	amc_renewal_attempts_hospital_own	public	amc_renewal_attempts	(EXISTS ( SELECT 1 FROM amc_contracts c WHERE ((c.id = amc_renewal_attempts.amc_contract_id) AND (c.hospital_user_id = auth.uid()))))	
ALL	PERMISSIVE	founder_all	authenticated	amc_renewal_runway_r2428	is_founder()	is_founder()
ALL	PERMISSIVE	amc_sla_breaches_admin_all	authenticated	amc_sla_breaches	(is_admin(auth.uid()) OR is_founder())	(is_admin(auth.uid()) OR is_founder())
SELECT	PERMISSIVE	amc_sla_breaches_engineer_assigned	public	amc_sla_breaches	((EXISTS ( SELECT 1 FROM (repair_jobs rj JOIN engineers e ON ((e.id = rj.engineer_id))) WHERE ((rj.id = amc_sla_breaches.visit_id) AND (e.user_id = auth.uid())))) OR (EXISTS ( SELECT 1 FROM (amc_engineer_rotation r JOIN engineers e ON ((e.id = r.engineer_id))) WHERE ((r.amc_contract_id = amc_sla_breaches.amc_contract_id) AND (r.active = true) AND (e.user_id = auth.uid())))))	
