function	caller_role	file	line
_link_catalog_devices_to_brands	service_role	supabase/functions/ingest_openfda/index.ts	283
abstainers_recent_r1701	authenticated	web/src/app/founder-investor-voting-rights-tracker/page.tsx	14
accelerating_r2167	authenticated	web/src/app/founder-hospital-customer-adoption-velocity/page.tsx	10
accelerating_tier_velocities_r2136	authenticated	web/src/app/founder-engineer-tier-upgrade-velocity/page.tsx	10
acceleration_kind_distribution_r2587	authenticated	web/src/app/founder-hospital-chain-amc-renewal-funnel-acceleration/page.tsx	21
accept_repair_bid	authenticated	app/src/main/kotlin/com/equipseva/app/core/data/repair/SupabaseRepairBidRepository.kt	88
accept_supervision	authenticated	app/src/main/kotlin/com/equipseva/app/features/engineer/EngineerGraduationRepository.kt	63
acceptance_rate_summary_r1743	authenticated	web/src/app/founder-hospital-amc-pricing-calculator-history/page.tsx	92
accessed_by_summary_r2609	authenticated	web/src/app/founder-monthly-investor-data-room-freshness/page.tsx	16
accuracy_by_model_version_r2332	authenticated	web/src/app/founder-customer-renewal-prediction-accuracy/page.tsx	74
accuracy_by_segment_r2332	authenticated	web/src/app/founder-customer-renewal-prediction-accuracy/page.tsx	73
accurate_forecasts_r1995	authenticated	web/src/app/founder-hospital-repeat-bookings-forecast/page.tsx	11
accurate_forecasts_r2091	authenticated	web/src/app/founder-hospital-repair-job-volume-forecast/page.tsx	12
accurate_forecasts_r2135	authenticated	web/src/app/founder-hospital-customer-demand-forecasting/page.tsx	11
achievers_recent_r1692	authenticated	web/src/app/founder-engineer-career-path-tracker/page.tsx	13
action_completion_rate_r2415	authenticated	web/src/app/founder-hospital-chain-quarterly-business-review-tracker/page.tsx	21
action_completion_rate_r2417	authenticated	web/src/app/founder-weekly-team-1on1-cadence/page.tsx	22
action_completion_rate_r2530	authenticated	web/src/app/founder-engineer-quarterly-360-review/page.tsx	14
action_completion_rate_r2548	authenticated	web/src/app/founder-customer-incident-postmortem-quality/page.tsx	112
action_completion_rate_r2557	authenticated	web/src/app/founder-monthly-cofounder-1on1-quality/page.tsx	22
action_items_r2422	authenticated	web/src/app/founder-engineer-incentive-leakage-detector/page.tsx	16
action_kind_breakdown_r2598	authenticated	web/src/app/founder-engineer-personal-financial-wellness-pulse/page.tsx	16
action_kind_breakdown_r2601	authenticated	web/src/app/founder-monthly-key-hire-pipeline-quality/page.tsx	16
action_kind_breakdown_r2612	authenticated	web/src/app/founder-customer-equipment-uptime-rolling-30day/page.tsx	23
action_kind_distribution_r2613	authenticated	web/src/app/founder-monthly-customer-advisory-board-progress/page.tsx	14
action_kind_distribution_r2631	authenticated	web/src/app/founder-hospital-chain-quarterly-loyalty-bond-cement/page.tsx	13
action_kind_distribution_r2649	authenticated	web/src/app/founder-monthly-strategic-clarity-pulse/page.tsx	23
action_kind_distribution_r2661	authenticated	web/src/app/founder-monthly-network-effect-pulse/page.tsx	23
action_kind_distribution_r2669	authenticated	web/src/app/founder-monthly-board-investor-update-impact/page.tsx	21
action_kind_summary_r2464	authenticated	web/src/app/founder-customer-csat-recovery-playbook/page.tsx	21
action_kind_summary_r2520	authenticated	web/src/app/founder-customer-onboarding-feedback-trends/page.tsx	13
action_kind_summary_r2523	authenticated	web/src/app/founder-hospital-chain-equipment-master-data-quality/page.tsx	22
action_kind_summary_r2542	authenticated	web/src/app/founder-engineer-customer-rapport-quality/page.tsx	21
action_kind_summary_r2568	authenticated	web/src/app/founder-customer-monthly-uptime-sla-credit-application/page.tsx	37
action_outcome_summary_r2318	authenticated	web/src/app/founder-engineer-escalation-root-cause-taxonomy/page.tsx	110
action_owner_load_r2455	authenticated	web/src/app/founder-hospital-chain-stakeholder-coverage/page.tsx	16
action_status_funnel_r2499	authenticated	web/src/app/founder-hospital-chain-equipment-utilization-by-shift/page.tsx	24
action_status_funnel_r2545	authenticated	web/src/app/founder-quarterly-team-pulse-survey/page.tsx	23
action_status_funnel_r2569	authenticated	web/src/app/founder-monthly-energy-investor-relations-mix/page.tsx	24
action_status_funnel_r2589	authenticated	web/src/app/founder-monthly-leadership-self-assessment/page.tsx	23
actionable_snapshots_r1782	authenticated	web/src/app/founder-whiteboard-snapshots/page.tsx	61
active_classes_r2173	authenticated	web/src/app/founder-investor-cap-table-share-class-tracker/page.tsx	12
active_crises_r2030	authenticated	web/src/app/founder-pr-crisis-playbook/page.tsx	11
active_cycles_r2015	authenticated	web/src/app/founder-hospital-procurement-cycle-tracker/page.tsx	40
active_cycles_r2148	authenticated	web/src/app/founder-engineer-performance-coaching-cycle/page.tsx	11
active_deals_r2085	authenticated	web/src/app/founder-investor-deal-closing-pipeline/page.tsx	53
active_deployments_r2116	authenticated	web/src/app/founder-engineer-multi-hospital-deployment/page.tsx	10
active_disclosures_summary_r1768	authenticated	web/src/app/founder-engineer-side-gig-tracker/page.tsx	97
active_family_offices_summary_r1765	authenticated	web/src/app/founder-investor-family-office-tracker/page.tsx	70
active_funnels_r2041	authenticated	web/src/app/founder-investor-round-pipeline-funnel/page.tsx	11
active_grants_r2177	authenticated	web/src/app/founder-investor-cap-table-option-grant-tracker/page.tsx	11
active_initiatives_r2066	authenticated	web/src/app/founder-cross-functional-initiative-map/page.tsx	11
active_letters_r1993	authenticated	web/src/app/founder-investor-side-letter-watchdog/page.tsx	11
active_letters_r2113	authenticated	web/src/app/founder-investor-side-letter-bookkeeping/page.tsx	11
active_loaners_by_hospital_r1971	authenticated	web/src/app/founder-hospital-equipment-loaner-program/page.tsx	10
active_loaners_summary_r1711	authenticated	web/src/app/founder-hospital-replacement-equipment-loaners/page.tsx	13
active_lpa_agreements_r2053	authenticated	web/src/app/founder-investor-limited-partner-agreements/page.tsx	11
active_mentorship_pairs_summary_r1672	authenticated	web/src/app/founder-engineer-mentorship/page.tsx	62
active_negotiations_r1989	authenticated	web/src/app/founder-investor-series-term-sheet-negotiator/page.tsx	11
active_okrs_r1914	authenticated	web/src/app/founder-quarterly-okr-ladder/page.tsx	11
active_pairings_r2458	authenticated	web/src/app/founder-engineer-mentor-mentee-pairing-tracker/page.tsx	12
active_pairs_r2068	authenticated	web/src/app/founder-engineer-apprentice-mentorship/page.tsx	11
active_partnerships_per_investor_r1737	authenticated	web/src/app/founder-investor-strategic-partnership-tracker/page.tsx	13
active_pauses_summary_r1795	authenticated	web/src/app/founder-hospital-service-pause-tracker/page.tsx	11
active_pilots_r2139	authenticated	web/src/app/founder-hospital-equipment-adoption-tracker/page.tsx	11
active_pips_r1952	authenticated	web/src/app/founder-engineer-pip-plans/page.tsx	11
active_pips_summary_r1856	authenticated	web/src/app/founder-engineer-pip/page.tsx	11
active_plans_r2169	authenticated	web/src/app/founder-investor-cap-table-stock-plan-tracker/page.tsx	30
active_preferences_r2189	authenticated	web/src/app/founder-investor-cap-table-dividend-preference/page.tsx	10
active_qip_v2_plans_r2184	authenticated	web/src/app/founder-engineer-quality-improvement-plan-v2/page.tsx	10
active_recalls_r1860	authenticated	web/src/app/founder-engineer-equipment-recall-notice/page.tsx	11
active_recovery_plans_r2160	authenticated	web/src/app/founder-engineer-quality-recovery-plan/page.tsx	11
active_sequences_r2062	authenticated	web/src/app/founder-investor-drip-sequencer/page.tsx	30
active_spikes_r2107	authenticated	web/src/app/founder-hospital-repair-job-volume-spike-detector/page.tsx	10
active_subscribers_r2049	authenticated	web/src/app/founder-investor-newsletter-subscription/page.tsx	12
active_tiers_r2079	authenticated	web/src/app/founder-hospital-service-tier-pricing/page.tsx	12
active_voting_blocks_r2141	authenticated	web/src/app/founder-investor-voting-block-tracker/page.tsx	11
activity_kind_summary_r2495	authenticated	web/src/app/founder-hospital-chain-customer-advocacy-flywheel/page.tsx	36
add_role	authenticated	app/src/main/kotlin/com/equipseva/app/core/data/profile/SupabaseProfileRepository.kt	187
address_set_default	authenticated	app/src/main/kotlin/com/equipseva/app/core/data/addresses/AddressRepository.kt	110
adherence_trend_r1978	authenticated	web/src/app/founder-time-block-adherence/page.tsx	11
admin_amc_escalation_detail	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	701
admin_amc_expiring_soon	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	382
admin_amc_paused	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	391
admin_cancel_engineer_payout	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	878
admin_cancel_engineer_payout	authenticated	web/src/app/actions/payouts.ts	35
admin_categories_list	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	462
admin_categories_upsert	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	476
admin_dashboard_stats	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	452
admin_dispute_party_track_record	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	734
admin_engineer_cash_flag_history	authenticated	app/src/main/kotlin/com/equipseva/app/features/founder/FounderRepository.kt	764
