anon_delete	anon_insert	anon_select	anon_update	auth_delete	auth_insert	auth_select	auth_update	owner	policy_count	rls_enabled	rls_forced	service_select	table_name
false	false	false	false	false	false	false	false	postgres	0	true	false	true	_app_admin_config
false	false	false	false	false	false	false	false	postgres	0	true	false	true	_app_invoice_config
false	false	false	false	false	false	false	false	postgres	0	true	false	true	_app_repair_invoice_config
true	true	true	true	true	true	true	true	postgres	0	true	false	true	a11y_capa_actions_r3711
true	true	true	true	true	true	true	true	postgres	0	true	false	true	a11y_r3711
true	true	true	true	true	true	true	true	postgres	0	true	false	true	abc_xyz_inventory_policy_capa_actions_r3445
true	true	true	true	true	true	true	true	postgres	0	true	false	true	abc_xyz_inventory_policy_r3445
true	true	true	true	true	true	true	true	postgres	1	true	false	true	acceptance_signoff_checklist_r2508
true	true	true	true	true	true	true	true	postgres	0	true	false	true	access_card_capa_actions_r3693
true	true	true	true	true	true	true	true	postgres	0	true	false	true	access_card_r3693
true	true	true	true	true	true	true	true	postgres	0	true	false	true	access_review_capa_actions_r3658
true	true	true	true	true	true	true	true	postgres	0	true	false	true	access_review_r3658
true	true	true	true	true	true	true	true	postgres	1	true	false	true	account_deletions
true	true	true	true	true	true	true	true	postgres	1	true	false	true	account_equity_kt_items_r2379
true	true	true	true	true	true	true	true	postgres	1	true	false	true	account_equity_transfers_r2379
true	true	true	true	true	true	true	true	postgres	1	true	false	true	account_plan_actions_r2683
true	true	true	true	true	true	true	true	postgres	1	true	false	true	account_plan_initiative_progress_r2603
true	true	true	true	true	true	true	true	postgres	2	true	false	true	admin_audit_log
true	true	true	true	true	true	true	true	postgres	0	true	false	true	admin_spend_capa_actions_r3677
true	true	true	true	true	true	true	true	postgres	0	true	false	true	admin_spend_r3677
true	true	true	true	true	true	true	true	postgres	1	true	false	true	adoption_help_requests_r2484
true	true	true	true	true	true	true	true	postgres	0	true	false	true	advance_tax_capa_actions_r3629
true	true	true	true	true	true	true	true	postgres	0	true	false	true	advance_tax_r3629
true	true	true	true	true	true	true	true	postgres	0	true	false	true	advanced_energy_qc_capa_actions_r3278
true	true	true	true	true	true	true	true	postgres	0	true	false	true	advanced_energy_qc_r3278
true	true	true	true	true	true	true	true	postgres	1	true	false	true	advisory_board_action_log_r2613
true	true	true	true	true	true	true	true	postgres	1	true	false	true	advocacy_activities_r2495
true	true	true	true	true	true	true	true	postgres	0	true	false	true	aer_cycle_logs_r3102
true	true	true	true	true	true	true	true	postgres	0	true	false	true	aer_scope_registry_r3102
true	true	true	true	true	true	true	true	postgres	0	true	false	true	aesthetic_laser_capa_actions_r3382
true	true	true	true	true	true	true	true	postgres	0	true	false	true	aesthetic_laser_r3382
true	true	true	true	true	true	true	true	postgres	0	true	false	true	after_hours_wa_engineer_scorecard_r2912
true	true	true	true	true	true	true	true	postgres	0	true	false	true	after_hours_wa_messages_r2912
true	true	true	true	true	true	true	true	postgres	0	true	false	true	aggregometer_qc_capa_actions_r3559
true	true	true	true	true	true	true	true	postgres	0	true	false	true	aggregometer_qc_r3559
true	true	true	true	true	true	true	true	postgres	1	true	false	true	alignment_recovery_actions_r2641
true	true	true	true	true	true	true	true	postgres	0	true	false	true	ambulance_equip_capa_actions_r3215
true	true	true	true	true	true	true	true	postgres	0	true	false	true	ambulance_equip_r3215
false	false	true	false	false	false	true	false	postgres	1	true	false	true	amc_admin_escalations
false	false	true	false	false	false	true	false	postgres	1	true	false	true	amc_affidavits
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_attach_improvement_actions_r2668
true	true	true	true	true	true	true	true	postgres	0	true	false	true	amc_cmc_contract_capa_actions_r3317
true	true	true	true	true	true	true	true	postgres	0	true	false	true	amc_cmc_contract_r3317
false	false	true	false	false	false	true	false	postgres	3	true	false	true	amc_contracts
false	false	true	false	false	false	true	false	postgres	1	true	false	true	amc_engineer_rotation
true	true	true	true	true	true	true	true	postgres	0	true	false	true	amc_escalation_capa_actions_r3722
true	true	true	true	true	true	true	true	postgres	0	true	false	true	amc_escalation_r3722
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_onboarding_handover_signoffs_r2460
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_onboarding_steps_r2460
false	false	true	false	false	false	true	false	postgres	2	true	false	true	amc_payment_orders
false	false	true	false	false	false	true	false	postgres	3	true	false	true	amc_payment_pool
false	false	true	false	false	false	true	false	postgres	2	true	false	true	amc_renewal_attempts
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_renewal_runway_r2428
false	false	true	false	false	false	true	false	postgres	3	true	false	true	amc_sla_breaches
false	false	true	false	false	false	true	false	postgres	3	true	false	true	amc_subscription_charges
false	false	true	false	false	false	true	false	postgres	1	true	false	true	amc_subscription_tiers
false	false	true	false	false	false	true	false	postgres	3	true	false	true	amc_subscriptions
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_tier_bump_events_r2208
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_tier_bump_requests_r2208
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_upsell_opportunities_r2436
true	true	true	true	true	true	true	true	postgres	1	true	false	true	amc_upsell_signals_log_r2436
true	true	true	true	true	true	true	true	postgres	0	true	false	true	anaerobic_chamber_qc_capa_actions_r3498
true	true	true	true	true	true	true	true	postgres	0	true	false	true	anaerobic_chamber_qc_r3498
true	true	true	true	true	true	true	true	postgres	0	true	false	true	anaesthesia_machine_capa_actions_r3140
true	true	true	true	true	true	true	true	postgres	0	true	false	true	anaesthesia_machine_r3140
false	false	false	false	false	false	false	false	postgres	1	true	false	true	analytics_events
false	false	false	false	false	false	false	false	postgres	0	true	false	true	analytics_funnel_steps
false	false	false	false	false	false	false	false	postgres	0	true	false	true	analytics_funnels
true	true	true	true	true	true	true	true	postgres	0	true	false	true	anesthesia_fleet_remediation_r2903
true	true	true	true	true	true	true	true	postgres	0	true	false	true	anesthesia_workstation_audits_r2903
true	true	true	true	true	true	true	true	postgres	1	true	false	true	anniversary_gesture_impact_ledger_r2762
true	true	true	true	true	true	true	true	postgres	1	true	false	true	anniversary_milestones_r2805
true	true	true	true	true	true	true	true	postgres	1	true	false	true	anniversary_stories_r2805
true	true	true	true	true	true	true	true	postgres	1	true	false	true	annual_letter_promises_r3037
